Student ID,Sex,Age,Growth,Weight,Shoe size,Course,Faculty,Year
S0057,Male,30,183,73.0,35,Computer Science,Engineering,5
S0058,Female,32,157,54.5,35,Physics,Engineering,5
S0059,Male,34,189,91.3,35,Mathematics,Medicine,6
S0060,Male,23,178,82.4,35,Biology,Business,2
S0061,Male,27,185,68.6,35,Mathematics,Humanities,3
S0062,Male,20,171,72.0,35,Chemistry,Humanities,3
S0063,Male,20,187,86.4,35,Physics,Humanities,4
S0064,Male,22,184,88.6,35,Art,Medicine,1
S0065,Male,21,181,83.5,35,Psychology,Engineering,4
S0066,Female,32,164,77.1,35,Engineering,Engineering,3
S0067,Female,34,168,60.4,35,Mathematics,Engineering,5
S0068,Female,25,154,52.4,35,Economics,Medicine,3
S0069,Female,21,174,73.4,35,Engineering,Medicine,4
S0070,Female,24,163,63.1,35,Economics,Humanities,5
S0071,Female,31,164,53.6,35,Economics,Engineering,4
S0072,Male,29,160,45.0,35,Economics,Science,4
S0073,Female,34,158,59.3,35,Chemistry,Engineering,5
S0074,Male,18,172,79.3,35,Chemistry,Humanities,2
S0075,Female,34,171,83.5,35,Computer Science,Humanities,6
S0076,Female,19,166,60.3,35,Business,Medicine,4
S0077,Female,24,169,71.8,35,Physics,Science,3
S0078,Female,18,161,64.1,35,Engineering,Business,4
S0079,Male,17,176,51.4,35,Psychology,Science,4
S0080,Female,31,161,62.7,35,Physics,Engineering,4
S0081,Female,18,169,65.2,35,Physics,Engineering,4
S0082,Female,25,175,72.2,35,Psychology,Science,4
S0083,Male,30,171,60.2,35,Economics,Science,4
S0084,Female,35,171,52.0,35,Biology,Medicine,4
S0085,Female,35,155,60.1,35,Chemistry,Humanities,6
S0086,Female,35,160,57.3,35,Physics,Humanities,4
S0087,Female,18,166,66.4,35,Chemistry,Science,4
S0088,Female,27,158,51.2,35,Biology,Science,3
S0089,Female,18,165,64.3,35,Chemistry,Engineering,4
S0090,Female,31,167,67.0,35,Mathematics,Business,3
S0091,Female,30,168,52.8,35,Engineering,Engineering,4
S0092,Female,22,172,81.1,35,Engineering,Science,1
S0093,Female,23,163,63.0,35,Biology,Engineering,4
S0094,Male,31,179,83.3,35,Art,Business,4
S0095,Female,34,172,70.0,35,Business,Engineering,5
S0096,Male,18,184,69.1,35,Art,Business,4
S0097,Female,29,165,61.9,35,Mathematics,Science,4
S0098,Male,31,165,54.1,35,Psychology,Science,3
S0099,Female,23,171,80.8,35,Engineering,Engineering,3
S0100,Female,23,170,65.7,35,Computer Science,Science,1
S0101,Male,33,176,65.7,35,Biology,Humanities,4
S0102,Female,28,162,51.1,35,Chemistry,Medicine,3
S0103,Male,24,177,67.4,35,Art,Business,6
S0104,Female,25,175,61.0,35,Mathematics,Humanities,6
S0105,Male,26,166,58.6,35,Physics,Medicine,4
S0106,Female,25,153,45.8,35,Mathematics,Medicine,5
S0107,Male,19,183,74.4,35,Art,Business,4
S0108,Male,27,184,101.8,35,Chemistry,Engineering,6
S0109,Female,29,158,65.4,35,Mathematics,Humanities,3
S0110,Female,32,173,86.9,35,Chemistry,Medicine,6
S0111,Female,34,175,77.9,35,Computer Science,Humanities,3
S0112,Male,32,187,94.3,35,Chemistry,Engineering,3
S0113,Female,20,165,68.7,35,Chemistry,Business,4
S0114,Male,30,160,71.8,35,Biology,Engineering,4
S0115,Female,27,174,68.1,35,Biology,Business,5
S0116,Female,29,164,76.9,35,Psychology,Humanities,3
S0117,Female,17,158,55.1,35,Business,Medicine,2
S0118,Female,33,172,67.8,35,Computer Science,Engineering,4
S0119,Male,32,177,58.2,35,Economics,Engineering,5
S0120,Female,17,170,70.9,35,Engineering,Business,4
S0121,Female,30,164,76.7,35,Psychology,Medicine,4
S0122,Female,17,166,69.7,35,Engineering,Medicine,4
S0123,Female,25,161,58.6,35,Physics,Medicine,6
S0124,Female,34,171,70.7,35,Biology,Science,4
S0125,Male,19,167,63.8,35,Biology,Science,4
S0126,Female,31,168,68.7,35,Business,Humanities,6
S0127,Male,33,164,67.8,35,Mathematics,Business,5
S0128,Male,22,191,85.3,35,Computer Science,Medicine,3
S0129,Female,30,163,65.7,35,Computer Science,Medicine,4
S0130,Male,34,187,76.0,35,Business,Engineering,3
S0131,Female,19,170,58.7,35,Engineering,Engineering,4
S0132,Male,26,174,62.2,35,Psychology,Humanities,3
S0133,Male,20,180,72.7,35,Physics,Medicine,4
S0134,Male,19,175,55.9,35,Computer Science,Engineering,4
S0135,Female,35,169,71.9,35,Psychology,Engineering,3
S0136,Female,20,183,81.5,35,Art,Humanities,4
S0137,Male,22,168,57.5,35,Business,Engineering,4
S0138,Female,31,165,60.7,35,Psychology,Medicine,4
S0139,Female,17,150,60.0,35,Mathematics,Business,4
S0140,Female,25,172,74.6,35,Business,Medicine,4
S0141,Male,34,171,70.3,35,Mathematics,Humanities,6
S0142,Female,32,159,62.6,35,Art,Medicine,5
S0143,Male,33,180,80.5,35,Biology,Medicine,6
S0144,Female,28,170,70.5,35,Economics,Humanities,6
S0145,Male,28,167,65.6,35,Art,Business,3
S0146,Female,31,160,60.4,35,Computer Science,Humanities,6
S0147,Male,29,179,66.1,35,Psychology,Humanities,6
S0148,Female,19,165,64.2,35,Mathematics,Business,4
S0149,Female,23,158,45.0,35,Engineering,Medicine,4
S0150,Female,26,157,50.6,35,Economics,Humanities,6
S0151,Male,25,176,64.4,35,Biology,Medicine,3
S0152,Female,33,182,66.9,35,Business,Business,6
S0153,Male,19,181,66.1,35,Psychology,Business,4
S0154,Male,24,188,72.3,35,Mathematics,Humanities,3
S0155,Male,26,178,72.8,35,Physics,Humanities,5
S0156,Male,26,183,76.1,35,Business,Business,5
S0157,Female,22,166,71.7,35,Chemistry,Science,4
S0158,Male,27,164,68.5,35,Psychology,Medicine,6
S0159,Male,33,164,60.2,35,Psychology,Humanities,5
S0160,Male,24,171,61.7,35,Biology,Business,3
S0161,Male,18,180,84.5,35,Biology,Engineering,4
S0162,Male,26,168,61.6,35,Mathematics,Engineering,4
S0163,Female,27,155,66.1,35,Art,Medicine,6
S0164,Female,29,177,70.4,35,Art,Business,3
S0165,Female,30,165,62.3,35,Economics,Science,4
S0166,Female,17,173,61.1,35,Economics,Engineering,4
S0167,Female,30,159,53.0,35,Biology,Business,4
S0168,Male,23,181,67.1,35,Psychology,Medicine,4
S0169,Male,30,183,81.2,35,Computer Science,Science,4
S0170,Female,34,162,56.0,35,Economics,Science,6
S0171,Female,24,182,71.6,35,Physics,Humanities,5
S0172,Female,22,160,53.3,35,Chemistry,Engineering,4
S0173,Female,22,158,57.2,35,Computer Science,Medicine,1
S0174,Female,27,166,65.8,35,Computer Science,Business,6
S0175,Female,35,161,47.0,35,Art,Medicine,4
S0176,Female,30,172,63.5,35,Psychology,Medicine,4
S0177,Female,31,164,66.7,35,Engineering,Business,4
S0178,Female,22,178,70.0,35,Biology,Business,3
S0179,Female,30,158,55.9,35,Engineering,Engineering,3
S0180,Male,26,169,55.5,35,Psychology,Science,3
S0181,Female,31,164,59.3,35,Mathematics,Humanities,5
S0182,Male,32,176,61.9,35,Art,Humanities,5
S0183,Male,31,185,84.9,35,Physics,Medicine,3
S0184,Male,27,176,89.3,35,Art,Medicine,3
S0185,Female,26,166,59.8,35,Art,Humanities,6
S0186,Female,26,163,50.2,35,Art,Science,3
S0187,Male,25,159,52.6,35,Biology,Medicine,4
S0188,Female,21,161,51.6,35,Engineering,Engineering,4
S0189,Female,23,177,71.1,35,Chemistry,Medicine,4
S0190,Male,22,171,63.7,35,Business,Engineering,3
S0191,Female,18,163,67.2,35,Biology,Science,4
S0192,Male,29,174,60.2,35,Computer Science,Engineering,5
S0193,Male,35,170,68.8,35,Chemistry,Medicine,5
S0194,Female,24,172,68.9,35,Business,Business,3
S0195,Male,25,186,80.6,35,Economics,Medicine,3
S0196,Female,32,158,59.6,35,Computer Science,Engineering,4
S0197,Female,25,157,57.4,35,Art,Engineering,6
S0198,Female,17,154,45.0,35,Computer Science,Business,1
S0199,Male,35,193,82.7,35,Chemistry,Medicine,5
S0200,Male,23,176,78.6,35,Art,Engineering,3
S0201,Female,18,154,55.3,35,Physics,Business,2
S0202,Male,21,176,64.5,35,Mathematics,Medicine,4
S0203,Male,19,173,81.5,35,Psychology,Medicine,4
S0204,Male,22,172,72.1,35,Business,Engineering,3
S0205,Female,26,162,53.9,35,Mathematics,Engineering,4
S0206,Male,29,169,49.6,35,Art,Science,4
S0207,Male,35,180,72.8,35,Engineering,Medicine,5
S0208,Male,25,177,69.5,35,Biology,Humanities,6
S0209,Female,18,167,57.0,35,Engineering,Science,3
S0210,Female,27,167,68.8,35,Business,Humanities,5
S0211,Female,23,168,69.7,35,Biology,Science,4
S0212,Male,24,184,70.7,35,Biology,Science,3
S0213,Female,34,177,71.1,35,Physics,Humanities,4
S0214,Female,31,157,52.7,35,Physics,Engineering,3
S0215,Female,19,158,55.2,35,Engineering,Science,2
S0216,Male,19,171,60.8,35,Economics,Science,3
S0217,Male,23,166,80.0,35,Chemistry,Medicine,4
S0218,Male,30,176,63.2,35,Biology,Business,4
S0219,Female,25,177,56.2,35,Biology,Humanities,5
S0220,Female,27,173,75.4,35,Physics,Humanities,5
S0221,Female,35,168,60.7,35,Physics,Engineering,4
S0222,Male,34,168,75.1,35,Chemistry,Humanities,4
S0223,Male,20,186,78.3,35,Economics,Humanities,4
S0224,Female,24,155,53.7,35,Chemistry,Humanities,5
S0225,Male,20,174,68.7,35,Business,Business,4
S0226,Male,21,187,89.9,35,Physics,Business,3
S0227,Female,30,162,56.6,35,Business,Medicine,3
S0228,Female,34,164,60.5,35,Computer Science,Engineering,3
S0229,Male,30,172,67.9,35,Physics,Business,3
S0230,Female,28,161,60.9,35,Economics,Business,3
S0231,Male,24,170,63.1,35,Art,Engineering,6
S0232,Female,22,168,71.8,35,Mathematics,Science,4
S0233,Female,30,155,47.9,35,Psychology,Business,3
S0234,Male,28,174,77.7,35,Computer Science,Business,6
S0235,Male,33,188,74.5,35,Mathematics,Medicine,5
S0236,Female,23,167,53.0,35,Business,Science,4
S0237,Female,34,164,60.0,35,Computer Science,Business,4
S0238,Male,22,177,75.0,35,Mathematics,Medicine,4
S0239,Male,27,174,68.8,35,Business,Engineering,3
S0240,Female,27,170,67.9,35,Business,Business,6
S0241,Male,25,169,63.7,35,Computer Science,Science,5
S0242,Female,30,167,63.0,35,Engineering,Engineering,3
S0243,Female,19,160,71.5,35,Chemistry,Science,3
S0244,Male,20,168,61.3,35,Art,Engineering,4
S0245,Female,22,174,60.6,35,Engineering,Humanities,3
S0246,Male,34,173,55.2,35,Mathematics,Engineering,4
S0247,Male,21,178,71.0,35,Business,Humanities,4
S0248,Male,20,179,62.1,35,Mathematics,Engineering,1
S0249,Male,34,189,76.6,35,Art,Medicine,3
S0250,Female,23,163,50.4,35,Psychology,Science,4
S0251,Male,27,172,67.6,35,Computer Science,Science,5
S0252,Female,19,160,61.2,35,Business,Engineering,3
S0253,Male,25,182,70.6,35,Business,Medicine,4
S0254,Female,24,162,56.6,35,Biology,Science,3
S0255,Male,29,175,73.7,35,Economics,Medicine,3
S0256,Male,30,179,73.7,35,Physics,Engineering,4
S0257,Male,34,181,71.0,35,Mathematics,Business,4
S0258,Male,25,169,55.0,35,Engineering,Science,6
S0259,Female,19,168,72.2,35,Engineering,Medicine,4
S0260,Male,33,177,86.2,35,Biology,Engineering,6
S0261,Male,27,186,73.6,35,Mathematics,Science,6
S0262,Male,24,167,64.3,35,Business,Medicine,6
S0263,Female,33,156,53.5,35,Business,Science,3
S0264,Male,27,178,74.7,35,Economics,Engineering,6
S0265,Female,23,165,59.4,35,Physics,Medicine,4
S0266,Female,17,168,58.9,35,Art,Humanities,4
S0267,Female,19,158,63.8,35,Computer Science,Business,2
S0268,Female,23,161,48.0,35,Biology,Humanities,2
S0269,Male,28,181,92.6,35,Chemistry,Humanities,3
S0270,Female,26,155,55.3,35,Computer Science,Engineering,6
S0271,Male,19,168,67.9,35,Economics,Business,2
S0272,Male,17,182,84.1,35,Engineering,Medicine,4
S0273,Female,30,166,64.1,35,Economics,Science,4
S0274,Female,25,153,55.2,35,Engineering,Business,5
S0275,Male,30,184,85.9,35,Economics,Humanities,4
S0276,Female,29,178,71.3,35,Art,Business,3
S0277,Male,31,192,83.2,35,Mathematics,Business,5
S0278,Male,26,181,79.2,35,Business,Humanities,6
S0279,Male,24,174,63.4,35,Business,Engineering,5
S0280,Female,32,173,58.8,35,Biology,Business,6
S0281,Female,30,171,67.1,35,Mathematics,Medicine,6
S0282,Female,24,161,57.0,35,Psychology,Humanities,6
S0283,Female,29,171,60.6,35,Psychology,Humanities,3
S0284,Female,20,162,49.7,35,Art,Engineering,4
S0285,Female,25,168,58.4,35,Biology,Business,6
S0286,Female,34,165,63.3,35,Chemistry,Humanities,6
S0287,Female,35,162,58.9,35,Psychology,Humanities,4
S0288,Female,20,168,65.2,35,Business,Medicine,3
S0289,Female,25,164,60.9,35,Biology,Humanities,6
S0290,Male,34,181,80.4,35,Biology,Humanities,6
S0291,Female,28,162,53.3,35,Business,Engineering,6
S0292,Male,27,180,70.6,35,Art,Humanities,6
S0293,Female,34,170,64.1,35,Biology,Medicine,3
S0294,Male,27,183,84.1,35,Art,Science,3
S0295,Female,22,167,72.5,35,Mathematics,Business,4
S0296,Male,33,175,69.0,35,Chemistry,Medicine,5
S0297,Male,35,156,62.7,35,Economics,Science,4
S0298,Female,28,163,55.2,35,Mathematics,Humanities,4
S0299,Male,19,171,62.9,35,Biology,Humanities,1
S0300,Male,33,187,90.0,35,Business,Business,3
S0301,Female,25,154,52.8,35,Business,Humanities,5
S0302,Male,30,191,90.4,35,Economics,Science,3
S0303,Female,29,174,74.5,35,Chemistry,Medicine,4
S0304,Male,33,187,83.4,35,Engineering,Humanities,3
S0305,Male,34,178,77.0,35,Psychology,Science,4
S0306,Female,33,171,65.9,35,Mathematics,Medicine,6
S0307,Female,25,163,65.7,35,Mathematics,Engineering,4
S0308,Male,24,171,71.1,35,Physics,Business,4
S0309,Male,17,163,63.5,35,Psychology,Humanities,4
S0310,Male,27,185,87.9,35,Engineering,Engineering,5
S0311,Female,29,162,63.1,35,Economics,Science,3
S0312,Female,28,160,65.2,35,Business,Science,6
S0313,Male,19,195,82.2,35,Physics,Medicine,3
S0314,Male,32,176,82.0,35,Art,Science,3
S0315,Female,31,171,59.8,35,Art,Medicine,3
S0316,Male,33,184,92.9,35,Engineering,Science,6
S0317,Female,20,165,58.7,35,Business,Medicine,4
S0318,Male,23,165,66.8,35,Business,Engineering,1
S0319,Male,21,170,54.3,35,Mathematics,Science,3
S0320,Female,18,181,73.4,35,Psychology,Medicine,4
S0321,Male,29,168,65.4,35,Psychology,Humanities,5
S0322,Female,31,172,63.3,35,Computer Science,Science,5
S0323,Female,20,150,57.1,35,Engineering,Humanities,2
S0324,Male,30,173,70.4,35,Business,Business,5
S0325,Male,35,161,66.4,35,Chemistry,Humanities,6
S0326,Female,25,171,55.1,35,Biology,Business,6
S0327,Male,35,189,89.6,35,Economics,Business,6
S0328,Female,27,161,70.0,35,Psychology,Medicine,4
S0329,Male,29,176,79.0,35,Chemistry,Medicine,4
S0330,Female,31,162,57.4,35,Biology,Science,4
S0331,Male,25,174,67.1,35,Engineering,Humanities,5
S0332,Female,31,174,60.7,35,Biology,Science,6
S0333,Female,23,159,58.1,35,Art,Humanities,4
S0334,Male,23,169,72.7,35,Psychology,Business,1
S0335,Female,26,162,55.5,35,Psychology,Engineering,4
S0336,Male,32,180,95.5,35,Biology,Humanities,4
S0337,Male,24,176,68.4,35,Physics,Medicine,5
S0338,Female,34,171,73.1,35,Engineering,Humanities,4
S0339,Female,35,157,57.5,35,Biology,Engineering,4
S0340,Male,19,168,56.3,35,Economics,Science,4
S0341,Male,29,198,80.9,35,Psychology,Science,6
S0342,Female,19,166,64.4,35,Mathematics,Business,4
S0343,Male,26,179,74.9,35,Biology,Science,4
S0344,Female,32,158,59.2,35,Computer Science,Medicine,3
S0345,Male,30,182,71.8,35,Mathematics,Medicine,4
S0346,Male,34,190,86.2,35,Biology,Business,4
S0347,Male,29,170,61.4,35,Mathematics,Medicine,6
S0348,Male,28,174,76.1,35,Biology,Humanities,6
S0349,Male,24,173,59.4,35,Art,Medicine,3
S0350,Male,35,184,80.6,35,Engineering,Business,3
S0351,Female,19,172,64.9,35,Art,Business,1
S0352,Male,30,178,62.9,35,Economics,Engineering,3
S0353,Male,28,170,62.9,35,Mathematics,Science,3
S0354,Male,25,178,72.5,35,Biology,Science,6
S0355,Male,18,163,57.2,35,Economics,Business,3
S0356,Female,24,169,72.3,35,Business,Engineering,4
S0357,Female,30,164,68.0,35,Psychology,Medicine,4
S0358,Female,31,164,65.1,35,Economics,Engineering,5
S0359,Female,30,165,72.1,35,Business,Engineering,6
S0360,Male,20,169,65.4,35,Biology,Humanities,2
S0361,Male,22,174,77.8,35,Psychology,Humanities,4
S0362,Male,24,181,65.6,35,Business,Humanities,4
S0363,Male,29,186,86.9,35,Biology,Medicine,3
S0364,Female,19,161,56.2,35,Mathematics,Medicine,2
S0365,Male,24,159,59.0,35,Economics,Engineering,3
S0366,Male,30,161,62.9,35,Art,Business,6
S0367,Male,26,167,62.5,35,Art,Engineering,4
S0368,Female,20,172,80.2,35,Art,Science,1
S0369,Male,22,187,77.8,35,Biology,Engineering,4
S0370,Female,17,182,70.0,35,Computer Science,Science,3
S0371,Female,31,154,56.1,35,Psychology,Medicine,6
S0372,Male,32,168,68.7,35,Chemistry,Science,6
S0373,Female,26,154,63.5,35,Mathematics,Business,5
S0374,Female,28,158,53.7,35,Business,Humanities,4
S0375,Male,24,182,54.5,35,Business,Business,6
S0376,Male,19,170,63.8,35,Computer Science,Engineering,1
S0377,Male,32,190,83.3,35,Computer Science,Medicine,4
S0378,Female,25,175,64.0,35,Mathematics,Engineering,3
S0379,Female,31,175,61.9,35,Art,Science,4
S0380,Female,25,168,65.1,35,Biology,Humanities,3
S0381,Female,33,158,65.4,35,Mathematics,Engineering,3
S0382,Female,26,153,49.5,35,Chemistry,Business,5
S0383,Male,27,174,76.3,35,Psychology,Engineering,5
S0384,Female,33,171,69.0,35,Business,Business,3
S0385,Female,18,167,62.2,35,Physics,Engineering,1
S0386,Female,23,162,65.1,35,Engineering,Business,4
S0387,Male,30,183,77.6,35,Psychology,Science,4
S0388,Male,21,182,70.4,35,Art,Medicine,2
S0389,Male,22,193,87.7,35,Computer Science,Science,2
S0390,Male,17,181,85.1,35,Art,Business,2
S0391,Male,19,182,79.8,35,Business,Engineering,3
S0392,Male,19,168,64.8,35,Mathematics,Engineering,4
S0393,Female,35,168,69.3,35,Physics,Medicine,4
S0394,Female,31,165,68.0,35,Art,Humanities,6
S0395,Male,20,169,74.5,35,Biology,Engineering,4
S0396,Male,35,170,69.2,35,Biology,Business,3
S0397,Female,29,169,70.2,35,Mathematics,Medicine,5
S0398,Female,24,164,54.9,35,Chemistry,Science,3
S0399,Female,32,176,60.2,35,Computer Science,Business,4
S0400,Male,30,183,79.7,35,Business,Humanities,5
S0401,Female,32,162,68.8,35,Computer Science,Business,3
S0402,Male,22,183,87.8,35,Physics,Medicine,2
S0403,Female,25,151,66.3,35,Biology,Science,4
S0404,Male,31,178,65.7,35,Biology,Medicine,6
S0405,Male,21,186,65.6,35,Art,Science,1
S0406,Female,21,167,66.3,35,Psychology,Business,4
S0407,Female,24,168,61.3,35,Psychology,Humanities,4
S0408,Male,25,173,59.8,35,Chemistry,Humanities,4
S0409,Female,22,157,53.1,35,Computer Science,Medicine,2
S0410,Female,26,165,45.0,35,Physics,Science,3
S0411,Female,22,167,58.0,35,Chemistry,Engineering,4
S0412,Female,19,166,63.2,35,Physics,Business,1
S0413,Male,18,176,63.0,35,Art,Engineering,4
S0414,Female,34,171,76.2,35,Chemistry,Humanities,5
S0415,Female,33,162,65.4,35,Computer Science,Science,5
S0416,Female,24,153,54.9,35,Art,Engineering,3
S0417,Female,27,168,62.7,35,Business,Business,3
S0418,Male,25,162,58.2,35,Biology,Medicine,6
S0419,Male,27,183,84.1,35,Biology,Medicine,6
S0420,Male,34,174,63.3,35,Physics,Science,3
S0421,Male,30,179,71.3,35,Art,Science,5
S0422,Female,18,159,71.9,35,Chemistry,Medicine,4
S0423,Male,27,170,71.9,35,Biology,Science,4
S0424,Male,18,179,65.2,35,Business,Engineering,3
S0425,Male,27,176,76.1,35,Chemistry,Medicine,5
S0426,Male,24,184,73.0,35,Computer Science,Science,5
S0427,Female,21,174,79.2,35,Biology,Medicine,2
S0428,Female,29,162,62.6,35,Chemistry,Science,3
S0429,Female,18,159,73.1,35,Economics,Business,2
S0430,Female,20,151,45.6,35,Economics,Humanities,1
S0431,Female,23,164,58.5,35,Engineering,Engineering,1
S0432,Female,20,165,52.4,35,Psychology,Engineering,3
S0433,Male,19,178,69.3,35,Physics,Medicine,3
S0434,Female,28,175,65.2,35,Mathematics,Medicine,5
S0435,Male,34,178,74.1,35,Economics,Humanities,5
S0436,Male,21,182,76.8,35,Computer Science,Business,4
S0437,Female,32,165,59.5,35,Business,Business,4
S0438,Male,18,188,72.1,35,Economics,Humanities,4
S0439,Female,18,160,60.9,35,Economics,Business,2
S0440,Female,34,156,66.9,35,Psychology,Science,5
S0441,Male,27,183,84.3,35,Biology,Engineering,4
S0442,Male,21,174,75.2,35,Mathematics,Science,3
S0443,Female,34,169,48.6,35,Art,Science,3
S0444,Male,23,180,68.2,35,Economics,Medicine,2
S0445,Male,24,168,63.7,35,Economics,Medicine,4
S0446,Male,32,188,82.6,35,Physics,Humanities,6
S0447,Male,28,190,84.1,35,Biology,Business,3
S0448,Female,33,165,67.3,35,Business,Medicine,5
S0449,Male,32,188,90.1,35,Mathematics,Engineering,5
S0450,Male,34,168,56.9,35,Biology,Science,5
S0451,Male,31,193,99.4,35,Mathematics,Humanities,6
S0452,Male,33,170,58.2,35,Physics,Business,4
S0453,Female,19,173,77.1,35,Art,Medicine,2
S0454,Male,29,175,68.6,35,Business,Engineering,5
S0455,Female,18,162,55.1,35,Engineering,Engineering,2
S0456,Male,29,176,66.3,35,Economics,Science,3
S0457,Female,33,180,82.4,35,Engineering,Science,6
S0458,Male,26,172,64.1,35,Chemistry,Engineering,4
S0459,Male,30,176,70.4,35,Engineering,Engineering,3
S0460,Male,23,187,94.4,35,Biology,Humanities,1
S0461,Male,26,193,69.5,35,Chemistry,Engineering,4
S0462,Male,27,194,106.1,35,Art,Humanities,6
S0463,Male,35,157,62.6,35,Engineering,Engineering,3
S0464,Female,23,173,76.2,35,Engineering,Business,1
S0465,Female,22,158,58.4,35,Computer Science,Engineering,3
S0466,Female,30,169,68.1,35,Biology,Humanities,5
S0467,Male,24,184,75.7,35,Economics,Business,3
S0468,Female,19,171,53.8,35,Psychology,Medicine,2
S0469,Female,17,158,55.4,35,Psychology,Science,4
S0470,Female,22,154,67.0,35,Computer Science,Humanities,4
S0471,Male,21,181,80.4,35,Biology,Medicine,4
S0472,Male,28,170,63.1,35,Computer Science,Humanities,5
S0473,Male,28,182,66.1,35,Mathematics,Humanities,3
S0474,Male,24,180,74.4,35,Business,Engineering,5
S0475,Male,32,174,64.4,35,Psychology,Engineering,5
S0476,Male,24,191,78.3,35,Economics,Medicine,4
S0477,Female,27,162,65.3,35,Physics,Business,3
S0478,Male,32,199,83.7,35,Mathematics,Medicine,5
S0479,Male,34,189,85.0,35,Psychology,Medicine,6
S0480,Female,32,168,58.9,35,Biology,Science,3
S0481,Male,31,194,78.7,35,Chemistry,Engineering,4
S0482,Male,22,177,77.6,35,Psychology,Business,4
S0483,Female,25,156,53.2,35,Chemistry,Science,3
S0484,Male,17,176,85.5,35,Computer Science,Engineering,4
S0485,Female,34,177,84.5,35,Business,Science,3
S0486,Female,27,148,51.9,35,Computer Science,Business,5
S0487,Female,17,161,51.5,35,Business,Business,4
S0488,Male,24,173,61.8,35,Business,Engineering,4
S0489,Male,29,184,82.6,35,Art,Medicine,6
S0490,Male,34,178,74.1,35,Engineering,Science,4
S0491,Male,32,177,88.5,35,Physics,Engineering,5
S0492,Male,23,174,77.8,35,Art,Business,4
S0493,Female,29,153,55.3,35,Art,Science,3
S0494,Male,22,165,74.9,35,Engineering,Medicine,1
S0495,Female,24,174,70.8,35,Art,Science,3
S0496,Female,19,166,67.0,35,Engineering,Business,4
S0497,Male,17,188,85.2,35,Economics,Science,4
S0498,Male,27,171,50.1,35,Psychology,Humanities,4
S0499,Female,23,173,64.8,35,Art,Science,1
S0500,Male,20,176,66.3,35,Psychology,Medicine,4
S0501,Male,31,170,80.0,35,Chemistry,Science,3
