Age,Growth,Weight,Shoe size
30,162,50.7,35
25,163,56.5,35
18,159,51.1,35
20,185,80.7,35
34,155,55.1,35
34,186,75.8,35
26,176,73.7,35
28,193,85.8,35
23,159,58.6,35
33,176,68.0,35
18,169,63.1,35
29,159,46.9,35
31,168,74.8,35
33,165,65.6,35
31,197,87.8,35
24,163,67.0,35
28,184,73.1,35
23,178,63.9,35
20,174,66.2,35
35,159,47.4,35
35,170,68.4,35
25,156,57.8,35
33,168,66.4,35
29,163,54.9,35
19,167,70.8,35
24,156,59.1,35
32,157,51.5,35
18,165,50.2,35
24,164,63.4,35
24,166,61.2,35
31,170,65.7,35
31,168,65.1,35
25,171,69.4,35
18,155,53.8,35
21,159,63.6,35
24,180,73.6,35
28,185,84.3,35
22,148,45.0,35
20,179,71.7,35
27,165,60.0,35
23,183,70.3,35
18,174,81.4,35
19,164,66.7,35
18,164,60.1,35
26,158,48.8,35
30,188,91.7,35
21,167,59.0,35
35,164,63.0,35
27,176,68.6,35
24,161,50.2,35
28,166,65.7,35
34,182,78.9,35
35,175,64.1,35
22,168,67.1,35
20,168,68.2,35
20,159,67.1,35
34,197,94.2,35
33,179,74.8,35
33,166,66.1,35
35,162,59.8,35
31,154,50.3,35
17,169,77.5,35
34,171,71.0,35
33,182,75.8,35
29,168,64.5,35
32,174,68.5,35
21,157,48.5,35
22,177,79.9,35
25,161,52.3,35
25,158,67.0,35
23,174,68.2,35
23,173,62.2,35
34,173,63.5,35
25,170,70.4,35
35,178,76.2,35
27,180,74.0,35
30,162,73.9,35
25,166,62.0,35
19,160,64.3,35
31,189,80.7,35
27,165,58.2,35
29,161,53.1,35
34,193,95.4,35
21,159,52.7,35
17,179,75.3,35
32,189,78.8,35
22,188,85.8,35
19,164,60.0,35
28,178,79.8,35
31,178,77.3,35
29,176,78.8,35
18,169,73.7,35
28,162,52.1,35
19,166,73.6,35
28,192,78.4,35
28,174,69.9,35
19,174,75.9,35
29,177,74.9,35
32,171,64.3,35
29,164,62.0,35
29,168,70.9,35
18,192,89.0,35
28,171,58.6,35
29,191,96.3,35
18,158,57.4,35
26,183,84.7,35
33,159,60.7,35
22,180,69.9,35
28,166,54.8,35
18,162,59.6,35
27,163,59.7,35
33,157,59.5,35
35,176,65.3,35
28,190,78.4,35
30,170,69.8,35
25,180,65.2,35
18,175,76.0,35
17,186,74.9,35
22,164,67.3,35
28,175,77.6,35
26,186,73.7,35
20,171,73.5,35
27,169,67.8,35
26,183,68.7,35
35,164,73.0,35
24,178,72.7,35
31,166,59.7,35
18,161,59.2,35
23,180,73.8,35
32,155,45.9,35
29,170,59.4,35
23,158,56.1,35
24,181,63.0,35
18,166,63.1,35
31,164,60.3,35
25,162,59.2,35
18,190,82.0,35
28,176,79.3,35
19,173,52.5,35
31,166,68.4,35
29,160,59.3,35
35,185,68.7,35
20,192,79.9,35
26,165,47.7,35
28,165,55.8,35
32,169,59.6,35
28,164,71.2,35
17,169,59.7,35
17,164,60.3,35
33,183,65.2,35
20,163,64.9,35
27,166,61.0,35
24,184,86.0,35
19,171,71.5,35
17,170,52.4,35
18,168,59.9,35
30,177,75.1,35
35,179,65.6,35
21,171,72.2,35
26,165,76.4,35
29,182,82.2,35
33,168,65.3,35
31,167,60.2,35
19,176,53.6,35
30,158,53.3,35
33,159,45.3,35
21,166,61.3,35
34,171,64.7,35
33,173,67.2,35
24,169,55.4,35
19,161,59.7,35
30,190,79.3,35
34,165,59.1,35
31,164,50.9,35
35,166,68.1,35
33,156,54.5,35
25,180,86.1,35
22,167,67.5,35
27,178,64.8,35
23,191,90.1,35
30,150,56.1,35
35,174,70.3,35
24,171,65.1,35
26,177,72.7,35
30,154,52.5,35
35,156,60.8,35
20,191,89.3,35
30,169,65.3,35
35,171,63.0,35
20,165,57.8,35
17,167,68.0,35
17,174,67.4,35
34,193,100.0,35
22,167,63.9,35
31,168,70.7,35
22,170,72.0,35
35,163,62.4,35
18,175,64.5,35
30,173,67.6,35
27,185,69.2,35
31,175,71.6,35
28,171,50.9,35
27,177,74.8,35
20,164,62.1,35
34,165,66.2,35
25,161,62.9,35
21,158,71.3,35
28,179,63.5,35
32,180,74.3,35
27,163,54.1,35
23,158,55.9,35
35,169,64.8,35
32,173,67.4,35
29,161,70.1,35
22,163,54.8,35
33,169,62.6,35
22,180,87.2,35
24,168,64.6,35
19,158,60.3,35
17,170,68.5,35
22,195,102.1,35
30,188,77.6,35
18,181,79.4,35
25,168,58.6,35
35,173,53.5,35
30,166,64.4,35
17,150,49.3,35
32,163,53.2,35
28,178,67.0,35
23,180,70.5,35
35,171,65.6,35
18,167,61.3,35
20,185,90.5,35
35,167,67.4,35
25,170,79.6,35
31,175,68.0,35
25,188,78.5,35
29,179,78.2,35
34,164,51.3,35
35,159,61.5,35
31,177,75.9,35
22,168,64.7,35
20,184,87.9,35
32,164,69.2,35
17,165,45.0,35
18,188,95.1,35
35,172,62.1,35
27,183,75.5,35
25,183,66.3,35
22,159,58.0,35
18,158,55.9,35
25,178,63.0,35
33,181,81.4,35
23,171,68.3,35
26,174,69.8,35
19,159,61.0,35
34,162,56.4,35
23,168,75.5,35
30,163,62.6,35
17,163,70.6,35
28,159,59.0,35
27,186,71.7,35
31,176,70.8,35
22,164,62.1,35
35,156,50.7,35
27,162,51.5,35
25,171,71.5,35
27,189,86.7,35
28,184,75.1,35
23,196,91.0,35
23,166,53.4,35
30,174,68.8,35
18,159,57.8,35
35,181,67.2,35
31,172,59.1,35
20,170,67.1,35
20,160,46.9,35
27,178,74.6,35
29,183,86.7,35
26,173,77.2,35
35,157,54.6,35
33,185,93.5,35
35,174,68.7,35
23,158,55.7,35
20,179,59.2,35
34,177,67.2,35
22,155,48.3,35
25,170,68.4,35
34,168,58.8,35
22,169,60.4,35
24,170,69.2,35
23,188,93.9,35
25,163,76.6,35
21,172,65.3,35
26,174,67.5,35
22,170,69.2,35
31,184,80.7,35
26,165,62.1,35
35,160,58.4,35
23,175,65.8,35
25,166,65.4,35
20,159,56.6,35
19,158,57.8,35
22,187,72.1,35
21,163,59.6,35
27,175,63.1,35
24,183,79.0,35
24,176,70.4,35
29,168,55.2,35
17,194,85.2,35
23,170,61.9,35
24,166,62.3,35
21,172,59.4,35
30,167,66.5,35
30,173,71.3,35
32,164,74.8,35
26,173,67.5,35
35,165,62.3,35
33,186,70.3,35
19,184,81.3,35
24,183,87.1,35
22,181,81.1,35
30,162,65.7,35
24,160,55.0,35
23,165,50.8,35
31,164,62.7,35
33,167,62.9,35
31,161,66.6,35
30,177,67.8,35
22,162,62.3,35
20,173,61.9,35
20,155,53.1,35
23,183,79.1,35
34,185,87.6,35
17,187,75.7,35
18,155,53.8,35
27,185,74.1,35
17,163,51.2,35
32,172,67.0,35
29,182,84.0,35
24,168,60.6,35
28,165,61.2,35
22,162,64.1,35
25,176,77.6,35
25,181,75.4,35
19,171,61.9,35
32,175,81.3,35
23,175,73.0,35
26,168,74.2,35
32,167,69.1,35
25,170,71.9,35
20,161,65.5,35
31,180,66.9,35
28,179,64.1,35
29,171,77.5,35
18,159,55.9,35
32,159,68.8,35
21,178,75.6,35
18,168,72.5,35
31,164,69.4,35
32,168,46.3,35
22,184,74.2,35
27,175,67.5,35
31,150,51.9,35
23,170,72.6,35
18,198,96.0,35
23,173,83.2,35
35,176,66.7,35
31,153,45.0,35
21,177,71.5,35
20,176,57.9,35
30,172,60.7,35
26,185,69.7,35
23,189,89.3,35
20,165,54.1,35
21,162,62.6,35
20,153,60.2,35
20,175,82.1,35
21,175,75.4,35
24,161,59.8,35
17,172,65.9,35
25,190,86.9,35
22,186,78.6,35
30,168,59.5,35
24,165,63.2,35
29,161,56.8,35
18,164,65.8,35
21,173,61.9,35
33,164,68.5,35
28,174,81.0,35
19,174,61.1,35
29,165,59.2,35
31,179,70.6,35
29,171,50.5,35
31,170,78.7,35
31,167,61.8,35
34,193,98.2,35
26,165,66.4,35
21,162,68.2,35
22,164,55.4,35
29,178,66.3,35
29,173,67.3,35
31,163,61.0,35
29,188,73.4,35
25,162,64.1,35
28,160,65.5,35
32,170,61.8,35
33,176,71.4,35
32,168,70.7,35
31,159,68.1,35
26,176,64.2,35
23,158,56.5,35
26,176,69.5,35
35,166,60.8,35
22,176,70.3,35
28,152,60.1,35
22,158,57.9,35
27,156,60.9,35
32,178,66.1,35
19,170,71.7,35
27,167,68.3,35
35,166,62.0,35
18,163,69.8,35
28,173,72.1,35
17,187,71.0,35
18,185,61.9,35
23,165,60.1,35
28,164,57.2,35
35,158,55.1,35
34,165,56.0,35
26,176,63.1,35
24,165,57.3,35
27,162,69.4,35
21,179,76.9,35
30,156,52.9,35
32,166,60.9,35
34,173,73.8,35
20,179,95.4,35
27,175,76.0,35
29,175,74.1,35
26,163,65.4,35
17,158,63.7,35
28,181,80.3,35
29,185,65.4,35
22,171,71.0,35
17,151,52.7,35
18,164,66.1,35
35,183,80.9,35
34,168,73.3,35
30,164,64.0,35
20,162,48.0,35
32,191,72.8,35
23,180,66.7,35
32,177,70.8,35
29,178,75.2,35
27,172,71.4,35
26,154,61.4,35
29,162,73.8,35
24,183,71.6,35
35,159,65.4,35
21,189,69.8,35
28,173,68.4,35
27,180,75.9,35
32,175,69.6,35
28,176,64.4,35
26,170,70.9,35
21,172,81.6,35
19,173,59.6,35
30,180,82.5,35
21,161,63.0,35
30,179,62.9,35
32,189,80.2,35
27,154,56.6,35
31,174,77.7,35
18,174,74.9,35
33,161,50.8,35
29,170,77.4,35
21,172,61.4,35
23,172,63.3,35
23,168,75.1,35
24,156,58.6,35
34,182,69.2,35
22,153,50.0,35
32,180,70.4,35
21,179,78.3,35
17,170,56.7,35
21,159,67.0,35
32,176,76.5,35
35,172,71.7,35
33,166,62.4,35
24,155,56.6,35
29,164,56.6,35
21,154,55.3,35
23,153,55.5,35
17,185,82.2,35
34,166,60.8,35
32,159,69.2,35
20,171,72.1,35
18,158,49.5,35
17,155,50.5,35
18,171,64.3,35
30,171,67.8,35
19,171,69.7,35
33,166,65.5,35
32,168,69.5,35
32,172,69.9,35
20,163,70.1,35
17,163,61.9,35
23,186,76.6,35
21,177,69.7,35
28,157,55.2,35
34,197,87.1,35
25,166,53.3,35
30,166,71.0,35
27,185,72.4,35
30,166,62.1,35
30,179,81.8,35
32,170,63.1,35
17,172,66.2,35
30,166,58.5,35
18,191,74.3,35
17,184,79.4,35
29,171,65.8,35
33,163,67.9,35
18,168,71.8,35
30,173,59.5,35
33,170,65.7,35
32,158,66.7,35
21,187,76.7,35
20,154,47.3,35
25,179,68.4,35
25,160,56.0,35
35,161,48.4,35
24,171,72.1,35
25,176,78.0,35
18,172,66.7,35
30,171,64.5,35
28,166,63.4,35
21,179,71.8,35
33,186,74.0,35
17,151,47.0,35
24,176,67.9,35
18,177,71.5,35
18,193,89.0,35
27,193,82.8,35
31,173,75.6,35
22,171,68.0,35
32,190,81.7,35
23,169,73.6,35
20,180,68.3,35
21,168,69.0,35
35,169,66.3,35
27,170,60.4,35
18,170,67.3,35
27,176,79.0,35
26,173,73.1,35
34,180,81.7,35
31,164,60.4,35
23,182,82.0,35
22,181,75.9,35
26,169,67.5,35
34,174,67.4,35
23,160,55.7,35
34,175,69.0,35
24,171,67.2,35
34,170,67.4,35
31,183,80.0,35
17,163,58.6,35
20,193,89.9,35
19,155,55.2,35
24,156,56.4,35
27,171,65.5,35
23,158,62.7,35
26,171,77.1,35
33,151,57.9,35
22,160,48.6,35
21,171,75.3,35
19,174,60.7,35
33,193,103.3,35
35,180,79.1,35
26,189,85.7,35
34,154,58.1,35
24,174,54.8,35
31,181,87.8,35
20,180,66.4,35
23,164,67.0,35
30,196,92.5,35
29,168,53.0,35
18,168,70.6,35
29,155,53.9,35
26,173,75.6,35
19,200,100.2,35
33,171,58.6,35
28,177,78.4,35
33,161,63.4,35
26,195,103.0,35
35,157,56.6,35
26,189,87.7,35
31,168,67.3,35
33,163,66.4,35
21,190,78.0,35
28,180,64.9,35
29,164,54.2,35
27,187,77.5,35
34,166,56.9,35
18,175,80.3,35
25,187,75.2,35
22,180,76.4,35
23,163,53.5,35
32,171,79.7,35
23,180,79.0,35
21,185,67.4,35
24,161,55.3,35
23,174,77.6,35
34,174,75.6,35
19,163,55.4,35
19,163,45.0,35
17,172,71.2,35
19,190,70.7,35
33,190,92.9,35
24,164,66.1,35
32,171,65.6,35
23,163,53.8,35
35,163,68.2,35
21,158,57.7,35
23,163,64.0,35
34,161,68.7,35
19,169,61.7,35
19,192,87.8,35
22,165,67.4,35
26,178,73.5,35
26,170,71.5,35
20,185,81.7,35
30,174,70.6,35
31,178,81.1,35
31,171,57.5,35
25,156,57.6,35
19,176,77.1,35
27,164,62.9,35
22,176,69.2,35
18,165,59.8,35
20,171,75.9,35
25,158,57.9,35
35,176,72.9,35
19,164,49.2,35
27,186,68.8,35
28,160,66.5,35
34,154,64.9,35
23,174,74.3,35
32,171,73.8,35
24,172,64.7,35
32,164,57.3,35
